Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
Creag Dhubh,Wind,Application Submitted,212821,703627,In development,Large (1MW+)
Gilston Hill Wind Farm,Wind,Awaiting Construction,344140,657352,In development,Large (1MW+)
Stranoch 2,Wind,Application Submitted,215493,571022,In development,Large (1MW+)
Yell Wind Farm,Wind,Application Submitted,449792,1202671,In development,Large (1MW+)
Hare Craig Windfarm,Wind,Application Submitted,274078,630954,In development,Large (1MW+)
Clashindarroch 2 (extension),Wind,Application Submitted,344000,833000,In development,Large (1MW+)
Kilgallioch Windfarm (Extension),Wind,Application Submitted,225000,570000,In development,Large (1MW+)
"Bridge House, Muasdale, Tarbert, Strathclyde",Wind,Awaiting Construction,172190,641550,In development,Large (1MW+)
Narachan Wind Farm,Wind,Application Submitted,175585,647445,In development,Large (1MW+)
Coire Na Cloiche Wind Farm,Wind,Operational,258937,878023,Operational,Large (1MW+)
Moray Firth 2 (West),Wind,Awaiting Construction,322637,909733,In development,Large (1MW+)
Pencloe Wind Farm,Wind,Awaiting Construction,257641,610606,In development,Large (1MW+)
Knockman Hill Wind Farm,Wind,Awaiting Construction,266921,583507,In development,Large (1MW+)
BARLOCKHART MOOR - extension,Wind,Awaiting Construction,222700,557109,In development,Large (1MW+)
Glenmuckloch Wind Farm,Wind,Awaiting Construction,270269,615690,In development,Large (1MW+)
Cogle Moss Wind Farm,Wind,Awaiting Construction,327494,955985,In development,Large (1MW+)
Easter Drumclair Wood (Resubmission),Wind,Awaiting Construction,286869,671605,In development,Large (1MW+)
Knockshinnoch Wind Farm,Wind,Awaiting Construction,260917,612721,In development,Large (1MW+)
Millennium South - Phase 3,Wind,Awaiting Construction,227236,807450,In development,Large (1MW+)
Poniel Wind Turbines,Wind,Awaiting Construction,284063,633619,In development,Large (1MW+)
Douglas West and Dalquhandy Renewable Energy Project,Wind,Awaiting Construction,280968,634257,In development,Large (1MW+)
Hazelside farm - resubmission,Wind,Under Construction,281251,630930,In development,Large (1MW+)
Shewalton Road,Wind,Awaiting Construction,234160,636667,In development,Large (1MW+)
Beinn Mheadhonach,Wind,Awaiting Construction,139317,837466,In development,Large (1MW+)
Corriemoillie (Resubmission),Wind,Operational,234700,867700,Operational,Large (1MW+)
Wathegar 2 Wind Farm,Wind,Operational,329103,950291,Operational,Large (1MW+)
Lowther Hills (North Lowther Energy Initiative),Wind,Application Submitted,283464,615138,In development,Large (1MW+)
Broken Cross (Former Surface Mine),Wind,Application Submitted,285677,636040,In development,Large (1MW+)
Draffanmarshill Farm,Wind,Application Submitted,278551,645431,In development,Large (1MW+)
North Kyle Energy Project,Wind,Application Submitted,250488,608948,In development,Large (1MW+)
Sheirdrim Renewable Energy Development - Wind,Wind,Application Submitted,181450,657720,In development,Large (1MW+)
Crookedstane Farm,Wind,Awaiting Construction,296607,615168,In development,Large (1MW+)
Lion Hill Wind Farm (Crookedstane Farm 2),Wind,Awaiting Construction,297700,610300,In development,Large (1MW+)
Polquhairn Wind Farm,Wind,Awaiting Construction,246990,616752,In development,Large (1MW+)
Benbrack,Wind,Awaiting Construction,253199,599440,In development,Large (1MW+)
Torrs Hill,Wind,Under Construction,252600,589000,In development,Large (1MW+)
Dounreay Trì Floating Wind Demonstration,Wind,Under Construction,291337,980477,In development,Large (1MW+)
Pogbie Wind Farm 2,Wind,Operational,347360,661013,Operational,Large (1MW+)
Work Farm Wind Turbines,Wind,Awaiting Construction,347667,1012871,In development,Large (1MW+)
Golticlay Wind Farm,Wind,Application Submitted,322334,940553,In development,Large (1MW+)
